2023-06-24 10:45:15.857  INFO -- [RMI TCP Connection(23)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 10:45:15.881  INFO -- [RMI TCP Connection(23)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 10:53:33.800  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 19796 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 10:53:33.802  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 10:53:34.572  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 10:53:34.583  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 10:53:34.584  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 10:53:34.683  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 10:53:34.684  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 831 ms
2023-06-24 10:53:35.043  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 10:53:35.053  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 1.716 seconds (process running for 2.421)
2023-06-24 10:53:53.143  INFO -- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 10:53:53.144  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 10:53:53.144  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2023-06-24 10:53:53.193  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 10:53:53.193  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 10:53:53.193  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
2023-06-24 10:53:53.193  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : http://localhost:9090/AuthenticationCheck?apiKey=002JI2744
2023-06-24 10:53:53.344  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doAuthenticate() in DocumentService
2023-06-24 10:53:53.345  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doCallFilenetFacade() in DocumentService
2023-06-24 10:53:53.359  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : requestEntity: <{files=[file [C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\LogFile\A1001001A04F09B45117H00477-(UNKNOWN).PDF]]},[Content-Type:"multipart/form-data", ContentType:""]>
2023-06-24 10:53:53.561  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of doCallFilenetFacade() in DocumentService
2023-06-24 10:53:53.561  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Ending of the performDocumentService()
2023-06-24 10:57:18.253  INFO -- [RMI TCP Connection(14)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 10:57:18.264  INFO -- [RMI TCP Connection(14)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 10:57:18.266  INFO -- [RMI TCP Connection(14)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-24 10:57:20.003  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 29188 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 10:57:20.024  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 10:57:20.910  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 10:57:20.920  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 10:57:20.921  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 10:57:21.031  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 10:57:21.032  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 967 ms
2023-06-24 10:57:21.451  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 10:57:21.461  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 1.843 seconds (process running for 2.38)
2023-06-24 10:57:28.650  INFO -- [RMI TCP Connection(8)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2023-06-24 10:57:28.662  INFO -- [RMI TCP Connection(8)-127.0.0.1] o.apache.catalina.core.StandardService   : Stopping service [Tomcat]
2023-06-24 10:57:46.014  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Starting DocumentServiceApplication using Java 17.0.7 with PID 6100 (C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService\target\classes started by 002JI2744 in C:\HR_Account\KEDM\EclipseWorkspaceDEV\DocumentService)
2023-06-24 10:57:46.017  INFO -- [main] c.i.g.d.DocumentServiceApplication       : No active profile set, falling back to 1 default profile: "default"
2023-06-24 10:57:46.685  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8081 (http)
2023-06-24 10:57:46.696  INFO -- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-06-24 10:57:46.697  INFO -- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-24 10:57:46.785  INFO -- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-06-24 10:57:46.785  INFO -- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 720 ms
2023-06-24 10:57:47.117  INFO -- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-06-24 10:57:47.125  INFO -- [main] c.i.g.d.DocumentServiceApplication       : Started DocumentServiceApplication in 1.441 seconds (process running for 2.092)
2023-06-24 10:57:58.045  INFO -- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-24 10:57:58.046  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-06-24 10:57:58.049  INFO -- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2023-06-24 10:57:58.108  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of the performDocumentService()
2023-06-24 10:57:58.108  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : Starting of doAuthenticate() in DocumentService
2023-06-24 10:57:58.108  INFO -- [http-nio-8081-exec-1] c.i.g.d.c.DocumentServiceController      : 002JI2744
